"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.51663660178951e-61,2.2063180486887,0.701,0.217,4.48162646046676e-57,"1","SULT1A1"
2.72397609932163e-61,1.65654097854213,0.903,0.418,4.85085663767196e-57,"1","VMP1"
3.26772730785422e-61,1.97122390536672,0.78,0.229,5.81916878982679e-57,"1","CD302"
1.51508754720514e-60,1.44470920944145,0.931,0.528,2.69806790406291e-56,"1","FKBP1A"
1.5547189789807e-60,1.18033265284546,0.998,0.709,2.76864355776882e-56,"1","SAT1"
2.27951687762617e-60,1.9559341014607,0.775,0.22,4.05936365567669e-56,"1","ALDH2"
2.65293399641613e-60,1.51679212520573,0.954,0.597,4.72434486081785e-56,"1","ZFP36"
2.83518047046307e-60,1.88728478500638,0.759,0.277,5.04888938180064e-56,"1","SCPEP1"
3.87822305035507e-60,1.79000452209902,0.843,0.341,6.90633960807232e-56,"1","NUP214"
1.3799614431327e-59,1.60425247641147,0.892,0.363,2.45743533793072e-55,"1","JAML"
2.19686254417414e-59,4.02108594390371,0.49,0.073,3.9121728186653e-55,"1","RETN"
2.37789414941604e-58,1.34549342743772,0.942,0.478,4.23455390128009e-54,"1","ANXA5"
2.53346229012487e-58,0.954580604948383,0.987,0.789,4.51158964625436e-54,"1","GNAI2"
6.78131276321936e-58,1.70117027010441,0.773,0.256,1.2076161768741e-53,"1","CPPED1"
7.1622215577717e-58,2.11843162866499,0.748,0.21,1.27544841500798e-53,"1","LMO2"
1.13623350515589e-57,1.08594926157414,1,0.787,2.02340462598162e-53,"1","SRGN"
1.19107791703579e-57,1.68725702270647,0.843,0.256,2.12107155465733e-53,"1","IGSF6"
1.88656323148431e-57,1.15345777539455,0.988,0.855,3.35959180262726e-53,"1","CALM2"
4.32112304026169e-57,1.92397736211708,0.849,0.331,7.69505591009802e-53,"1","RGS2"
5.32478319551138e-57,2.1312282483351,0.669,0.195,9.48237391456667e-53,"1","RNASE6"
6.87701959655173e-57,1.34839082113973,0.93,0.516,1.22465964975393e-52,"1","H2AFY"
1.28169226947095e-56,1.71004357503573,0.83,0.342,2.28243759347386e-52,"1","AGTRAP"
9.96961638138892e-56,1.83253962203233,0.768,0.227,1.77538928519774e-51,"1","LRP1"
